"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|SE4","Actual Total Load [MW] - BZN|SE4"
"01.01.2023 00:00 - 01.01.2023 01:00","2106","2061"
"01.01.2023 01:00 - 01.01.2023 02:00","2073","2018"
"01.01.2023 02:00 - 01.01.2023 03:00","2050","1943"
"01.01.2023 03:00 - 01.01.2023 04:00","2018","1891"
"01.01.2023 04:00 - 01.01.2023 05:00","2016","1844"
"01.01.2023 05:00 - 01.01.2023 06:00","2033","1782"
"01.01.2023 06:00 - 01.01.2023 07:00","2080","1843"
"01.01.2023 07:00 - 01.01.2023 08:00","2126","1973"
"01.01.2023 08:00 - 01.01.2023 09:00","2161","2076"
"01.01.2023 09:00 - 01.01.2023 10:00","2193","2044"
"01.01.2023 10:00 - 01.01.2023 11:00","2271","2132"
"01.01.2023 11:00 - 01.01.2023 12:00","2345","2122"
"01.01.2023 12:00 - 01.01.2023 13:00","2386","2222"
"01.01.2023 13:00 - 01.01.2023 14:00","2395","2195"
"01.01.2023 14:00 - 01.01.2023 15:00","2408","2236"
"01.01.2023 15:00 - 01.01.2023 16:00","2452","2330"
"01.01.2023 16:00 - 01.01.2023 17:00","2529","2490"
"01.01.2023 17:00 - 01.01.2023 18:00","2556","2540"
"01.01.2023 18:00 - 01.01.2023 19:00","2531","2553"
"01.01.2023 19:00 - 01.01.2023 20:00","2482","2560"
"01.01.2023 20:00 - 01.01.2023 21:00","2402","2431"
"01.01.2023 21:00 - 01.01.2023 22:00","2323","2338"
"01.01.2023 22:00 - 01.01.2023 23:00","2241","2256"
"01.01.2023 23:00 - 02.01.2023 00:00","2171","2080"
"02.01.2023 00:00 - 02.01.2023 01:00","2090","1885"
"02.01.2023 01:00 - 02.01.2023 02:00","2036","1907"
"02.01.2023 02:00 - 02.01.2023 03:00","2019","2002"
"02.01.2023 03:00 - 02.01.2023 04:00","2016","1967"
"02.01.2023 04:00 - 02.01.2023 05:00","2053","2035"
"02.01.2023 05:00 - 02.01.2023 06:00","2160","2258"
"02.01.2023 06:00 - 02.01.2023 07:00","2407","2549"
"02.01.2023 07:00 - 02.01.2023 08:00","2660","2772"
"02.01.2023 08:00 - 02.01.2023 09:00","2775","2841"
"02.01.2023 09:00 - 02.01.2023 10:00","2800","2873"
"02.01.2023 10:00 - 02.01.2023 11:00","2856","2853"
"02.01.2023 11:00 - 02.01.2023 12:00","2881","2808"
"02.01.2023 12:00 - 02.01.2023 13:00","2896","2851"
"02.01.2023 13:00 - 02.01.2023 14:00","2901","2908"
"02.01.2023 14:00 - 02.01.2023 15:00","2885","2904"
"02.01.2023 15:00 - 02.01.2023 16:00","2914","2851"
"02.01.2023 16:00 - 02.01.2023 17:00","2960","2793"
"02.01.2023 17:00 - 02.01.2023 18:00","2958","2827"
"02.01.2023 18:00 - 02.01.2023 19:00","2892","2785"
"02.01.2023 19:00 - 02.01.2023 20:00","2810","2545"
"02.01.2023 20:00 - 02.01.2023 21:00","2704","2406"
"02.01.2023 21:00 - 02.01.2023 22:00","2596","2215"
"02.01.2023 22:00 - 02.01.2023 23:00","2477","2159"
"02.01.2023 23:00 - 03.01.2023 00:00","2350","2240"
"03.01.2023 00:00 - 03.01.2023 01:00","2148","2310"
"03.01.2023 01:00 - 03.01.2023 02:00","2105","2205"
"03.01.2023 02:00 - 03.01.2023 03:00","2104","2122"
"03.01.2023 03:00 - 03.01.2023 04:00","2116","2027"
"03.01.2023 04:00 - 03.01.2023 05:00","2170","2137"
"03.01.2023 05:00 - 03.01.2023 06:00","2288","2317"
"03.01.2023 06:00 - 03.01.2023 07:00","2546","2565"
"03.01.2023 07:00 - 03.01.2023 08:00","2809","2832"
"03.01.2023 08:00 - 03.01.2023 09:00","2936","2930"
"03.01.2023 09:00 - 03.01.2023 10:00","2972","2964"
"03.01.2023 10:00 - 03.01.2023 11:00","3037","3024"
"03.01.2023 11:00 - 03.01.2023 12:00","3060","3005"
"03.01.2023 12:00 - 03.01.2023 13:00","3067","2910"
"03.01.2023 13:00 - 03.01.2023 14:00","3073","2948"
"03.01.2023 14:00 - 03.01.2023 15:00","3064","2973"
"03.01.2023 15:00 - 03.01.2023 16:00","3114","3097"
"03.01.2023 16:00 - 03.01.2023 17:00","3203","3200"
"03.01.2023 17:00 - 03.01.2023 18:00","3238","3244"
"03.01.2023 18:00 - 03.01.2023 19:00","3186","3174"
"03.01.2023 19:00 - 03.01.2023 20:00","3106","3087"
"03.01.2023 20:00 - 03.01.2023 21:00","2992","2910"
"03.01.2023 21:00 - 03.01.2023 22:00","2874","2785"
"03.01.2023 22:00 - 03.01.2023 23:00","2738","2722"
"03.01.2023 23:00 - 04.01.2023 00:00","2600","2629"
"04.01.2023 00:00 - 04.01.2023 01:00","2404","2521"
"04.01.2023 01:00 - 04.01.2023 02:00","2350","2440"
"04.01.2023 02:00 - 04.01.2023 03:00","2338","2417"
"04.01.2023 03:00 - 04.01.2023 04:00","2317","2452"
"04.01.2023 04:00 - 04.01.2023 05:00","2346","2494"
"04.01.2023 05:00 - 04.01.2023 06:00","2452","2602"
"04.01.2023 06:00 - 04.01.2023 07:00","2686","2752"
"04.01.2023 07:00 - 04.01.2023 08:00","2918","2926"
"04.01.2023 08:00 - 04.01.2023 09:00","3014","2959"
"04.01.2023 09:00 - 04.01.2023 10:00","3034","3065"
"04.01.2023 10:00 - 04.01.2023 11:00","3079","3126"
"04.01.2023 11:00 - 04.01.2023 12:00","3097","3141"
"04.01.2023 12:00 - 04.01.2023 13:00","3112","3220"
"04.01.2023 13:00 - 04.01.2023 14:00","3117","3266"
"04.01.2023 14:00 - 04.01.2023 15:00","3082","3283"
"04.01.2023 15:00 - 04.01.2023 16:00","3074","3317"
"04.01.2023 16:00 - 04.01.2023 17:00","3082","3336"
"04.01.2023 17:00 - 04.01.2023 18:00","3068","3244"
"04.01.2023 18:00 - 04.01.2023 19:00","2983","3092"
"04.01.2023 19:00 - 04.01.2023 20:00","2863","3041"
"04.01.2023 20:00 - 04.01.2023 21:00","2724","2887"
"04.01.2023 21:00 - 04.01.2023 22:00","2585","2641"
"04.01.2023 22:00 - 04.01.2023 23:00","2450","2531"
"04.01.2023 23:00 - 05.01.2023 00:00","2335","2470"
"05.01.2023 00:00 - 05.01.2023 01:00","2303","2427"
"05.01.2023 01:00 - 05.01.2023 02:00","2253","2341"
"05.01.2023 02:00 - 05.01.2023 03:00","2236","2317"
"05.01.2023 03:00 - 05.01.2023 04:00","2263","2336"
"05.01.2023 04:00 - 05.01.2023 05:00","2310","2344"
"05.01.2023 05:00 - 05.01.2023 06:00","2445","2349"
"05.01.2023 06:00 - 05.01.2023 07:00","2722","2574"
"05.01.2023 07:00 - 05.01.2023 08:00","2996","2897"
"05.01.2023 08:00 - 05.01.2023 09:00","3123","3066"
"05.01.2023 09:00 - 05.01.2023 10:00","3174","3210"
"05.01.2023 10:00 - 05.01.2023 11:00","3234","3296"
"05.01.2023 11:00 - 05.01.2023 12:00","3252","3316"
"05.01.2023 12:00 - 05.01.2023 13:00","3249","3358"
"05.01.2023 13:00 - 05.01.2023 14:00","3278","3331"
"05.01.2023 14:00 - 05.01.2023 15:00","3270","3275"
"05.01.2023 15:00 - 05.01.2023 16:00","3307","3379"
"05.01.2023 16:00 - 05.01.2023 17:00","3365","3420"
"05.01.2023 17:00 - 05.01.2023 18:00","3395","3386"
"05.01.2023 18:00 - 05.01.2023 19:00","3317","3268"
