"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|SE4","Actual Total Load [MW] - BZN|SE4"
"01.01.2022 00:00 - 01.01.2022 01:00","2230","2339"
"01.01.2022 01:00 - 01.01.2022 02:00","2181","2214"
"01.01.2022 02:00 - 01.01.2022 03:00","2146","2170"
"01.01.2022 03:00 - 01.01.2022 04:00","2118","2214"
"01.01.2022 04:00 - 01.01.2022 05:00","2118","2267"
"01.01.2022 05:00 - 01.01.2022 06:00","2149","2284"
"01.01.2022 06:00 - 01.01.2022 07:00","2231","2338"
"01.01.2022 07:00 - 01.01.2022 08:00","2316","2355"
"01.01.2022 08:00 - 01.01.2022 09:00","2391","2408"
"01.01.2022 09:00 - 01.01.2022 10:00","2453","2436"
"01.01.2022 10:00 - 01.01.2022 11:00","2570","2537"
"01.01.2022 11:00 - 01.01.2022 12:00","2643","2598"
"01.01.2022 12:00 - 01.01.2022 13:00","2670","2621"
"01.01.2022 13:00 - 01.01.2022 14:00","2684","2630"
"01.01.2022 14:00 - 01.01.2022 15:00","2719","2648"
"01.01.2022 15:00 - 01.01.2022 16:00","2817","2678"
"01.01.2022 16:00 - 01.01.2022 17:00","2986","2789"
"01.01.2022 17:00 - 01.01.2022 18:00","3045","2854"
"01.01.2022 18:00 - 01.01.2022 19:00","3012","2901"
"01.01.2022 19:00 - 01.01.2022 20:00","2952","2800"
"01.01.2022 20:00 - 01.01.2022 21:00","2856","2661"
"01.01.2022 21:00 - 01.01.2022 22:00","2746","2580"
"01.01.2022 22:00 - 01.01.2022 23:00","2632","2568"
"01.01.2022 23:00 - 02.01.2022 00:00","2526","2570"
"02.01.2022 00:00 - 02.01.2022 01:00","2428","2516"
"02.01.2022 01:00 - 02.01.2022 02:00","2351","2364"
"02.01.2022 02:00 - 02.01.2022 03:00","2313","2301"
"02.01.2022 03:00 - 02.01.2022 04:00","2284","2260"
"02.01.2022 04:00 - 02.01.2022 05:00","2284","2276"
"02.01.2022 05:00 - 02.01.2022 06:00","2303","2260"
"02.01.2022 06:00 - 02.01.2022 07:00","2362","2250"
"02.01.2022 07:00 - 02.01.2022 08:00","2449","2325"
"02.01.2022 08:00 - 02.01.2022 09:00","2549","2438"
"02.01.2022 09:00 - 02.01.2022 10:00","2648","2543"
"02.01.2022 10:00 - 02.01.2022 11:00","2752","2596"
"02.01.2022 11:00 - 02.01.2022 12:00","2808","2658"
"02.01.2022 12:00 - 02.01.2022 13:00","2838","2722"
"02.01.2022 13:00 - 02.01.2022 14:00","2827","2775"
"02.01.2022 14:00 - 02.01.2022 15:00","2824","2858"
"02.01.2022 15:00 - 02.01.2022 16:00","2882","2925"
"02.01.2022 16:00 - 02.01.2022 17:00","3006","2980"
"02.01.2022 17:00 - 02.01.2022 18:00","3043","3048"
"02.01.2022 18:00 - 02.01.2022 19:00","3004","3087"
"02.01.2022 19:00 - 02.01.2022 20:00","2925","2991"
"02.01.2022 20:00 - 02.01.2022 21:00","2823","2799"
"02.01.2022 21:00 - 02.01.2022 22:00","2699","2604"
"02.01.2022 22:00 - 02.01.2022 23:00","2577","2474"
"02.01.2022 23:00 - 03.01.2022 00:00","2453","2375"
"03.01.2022 00:00 - 03.01.2022 01:00","2315","2395"
"03.01.2022 01:00 - 03.01.2022 02:00","2262","2361"
"03.01.2022 02:00 - 03.01.2022 03:00","2259","2345"
"03.01.2022 03:00 - 03.01.2022 04:00","2268","2334"
"03.01.2022 04:00 - 03.01.2022 05:00","2314","2416"
"03.01.2022 05:00 - 03.01.2022 06:00","2438","2480"
"03.01.2022 06:00 - 03.01.2022 07:00","2701","2732"
"03.01.2022 07:00 - 03.01.2022 08:00","2971","3047"
"03.01.2022 08:00 - 03.01.2022 09:00","3093","3129"
"03.01.2022 09:00 - 03.01.2022 10:00","3117","3206"
"03.01.2022 10:00 - 03.01.2022 11:00","3168","3242"
"03.01.2022 11:00 - 03.01.2022 12:00","3181","3248"
"03.01.2022 12:00 - 03.01.2022 13:00","3161","3284"
"03.01.2022 13:00 - 03.01.2022 14:00","3158","3260"
"03.01.2022 14:00 - 03.01.2022 15:00","3135","3320"
"03.01.2022 15:00 - 03.01.2022 16:00","3178","3365"
"03.01.2022 16:00 - 03.01.2022 17:00","3244","3405"
"03.01.2022 17:00 - 03.01.2022 18:00","3247","3364"
"03.01.2022 18:00 - 03.01.2022 19:00","3179","3305"
"03.01.2022 19:00 - 03.01.2022 20:00","3083","3224"
"03.01.2022 20:00 - 03.01.2022 21:00","2960","3098"
"03.01.2022 21:00 - 03.01.2022 22:00","2826","3007"
"03.01.2022 22:00 - 03.01.2022 23:00","2697","2823"
"03.01.2022 23:00 - 04.01.2022 00:00","2564","2685"
"04.01.2022 00:00 - 04.01.2022 01:00","2366","2537"
"04.01.2022 01:00 - 04.01.2022 02:00","2312","2405"
