"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|SE4","Actual Total Load [MW] - BZN|SE4"
"01.01.2017 00:00 - 01.01.2017 01:00","2307","2342"
"01.01.2017 01:00 - 01.01.2017 02:00","2254","2291"
"01.01.2017 02:00 - 01.01.2017 03:00","2208","2189"
"01.01.2017 03:00 - 01.01.2017 04:00","2208","2155"
"01.01.2017 04:00 - 01.01.2017 05:00","2251","2159"
"01.01.2017 05:00 - 01.01.2017 06:00","2317","2228"
"01.01.2017 06:00 - 01.01.2017 07:00","2389","2352"
"01.01.2017 07:00 - 01.01.2017 08:00","2423","2427"
"01.01.2017 08:00 - 01.01.2017 09:00","2464","2470"
"01.01.2017 09:00 - 01.01.2017 10:00","2553","2624"
"01.01.2017 10:00 - 01.01.2017 11:00","2632","2792"
"01.01.2017 11:00 - 01.01.2017 12:00","2681","2927"
"01.01.2017 12:00 - 01.01.2017 13:00","2713","2922"
"01.01.2017 13:00 - 01.01.2017 14:00","2749","2839"
"01.01.2017 14:00 - 01.01.2017 15:00","2858","2941"
"01.01.2017 15:00 - 01.01.2017 16:00","3014","3106"
"01.01.2017 16:00 - 01.01.2017 17:00","3071","3168"
"01.01.2017 17:00 - 01.01.2017 18:00","3057","3093"
"01.01.2017 18:00 - 01.01.2017 19:00","2990","3024"
"01.01.2017 19:00 - 01.01.2017 20:00","2907","2929"
"01.01.2017 20:00 - 01.01.2017 21:00","2815","2815"
"01.01.2017 21:00 - 01.01.2017 22:00","2705","2749"
"01.01.2017 22:00 - 01.01.2017 23:00","2612","2663"
"01.01.2017 23:00 - 02.01.2017 00:00","2621","2627"
"02.01.2017 00:00 - 02.01.2017 01:00","2614","2544"
"02.01.2017 01:00 - 02.01.2017 02:00","2633","2529"
"02.01.2017 02:00 - 02.01.2017 03:00","2659","2591"
"02.01.2017 03:00 - 02.01.2017 04:00","2901","2690"
"02.01.2017 04:00 - 02.01.2017 05:00","3026","2867"
"02.01.2017 05:00 - 02.01.2017 06:00","3324","3327"
