﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Lund Sol;53445;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Global Irradians (svenska stationer);medelvärde 1 timma, varje timme;watt per kvadratmeter
Solskenstid;summa 1 timme, 1 gång/tim;sekund

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1983-01-01 00:00:00;2025-04-01 10:20:19;90.0;55.7138;13.2124

Datum;Tid (UTC);Global Irradians (svenska stationer);Kvalitet;Solskenstid;Kvalitet;;Tidsutsnitt:
2015-01-01;00:00:00;0.00;G;0;G
2015-01-01;01:00:00;0.00;G;0;G
2015-01-01;02:00:00;0.00;G;0;G
2015-01-01;03:00:00;0.00;G;0;G
2015-01-01;04:00:00;0.00;G;0;G
2015-01-01;05:00:00;0.00;G;0;G
2015-01-01;06:00:00;0.00;G;0;G
2015-01-01;07:00:00;0.15;G;0;G
2015-01-01;08:00:00;1.16;G;0;G
2015-01-01;09:00:00;3.44;G;0;G
2015-01-01;10:00:00;17.08;G;0;G
2015-01-01;11:00:00;24.03;G;0;G
2015-01-01;12:00:00;17.14;G;0;G
2015-01-01;13:00:00;9.92;G;0;G
2015-01-01;14:00:00;5.38;G;0;G
2015-01-01;15:00:00;1.05;G;0;G
2015-01-01;16:00:00;0.26;G;0;G
2015-01-01;17:00:00;0.00;G;0;G
2015-01-01;18:00:00;0.00;G;0;G
2015-01-01;19:00:00;0.00;G;0;G
2015-01-01;20:00:00;0.00;G;0;G
2015-01-01;21:00:00;0.00;G;0;G
2015-01-01;22:00:00;0.00;G;0;G
2015-01-01;23:00:00;0.00;G;0;G
2015-01-02;00:00:00;0.00;G;0;G
2015-01-02;01:00:00;0.00;G;0;G
2015-01-02;02:00:00;0.00;G;0;G
2015-01-02;03:00:00;0.00;G;0;G
2015-01-02;04:00:00;0.00;G;0;G
2015-01-02;05:00:00;0.00;G;0;G
2015-01-02;06:00:00;0.00;G;0;G
2015-01-02;07:00:00;0.01;G;0;G
2015-01-02;08:00:00;1.53;G;0;G
2015-01-02;09:00:00;11.19;G;0;G
2015-01-02;10:00:00;19.98;G;0;G
2015-01-02;11:00:00;64.70;G;36;G
2015-01-02;12:00:00;78.18;G;229;G
2015-01-02;13:00:00;104.26;G;2227;G
2015-01-02;14:00:00;78.25;G;2857;G
2015-01-02;15:00:00;14.06;G;243;G
2015-01-02;16:00:00;0.11;G;0;G
2015-01-02;17:00:00;0.00;G;0;G
2015-01-02;18:00:00;0.00;G;0;G
2015-01-02;19:00:00;0.00;G;0;G
2015-01-02;20:00:00;0.00;G;0;G
2015-01-02;21:00:00;0.00;G;0;G
2015-01-02;22:00:00;0.00;G;0;G
2015-01-02;23:00:00;0.00;G;0;G
2015-01-03;00:00:00;0.00;G;0;G
2015-01-03;01:00:00;0.00;G;0;G
2015-01-03;02:00:00;0.00;G;0;G
2015-01-03;03:00:00;0.00;G;0;G
2015-01-03;04:00:00;0.00;G;0;G
2015-01-03;05:00:00;0.00;G;0;G
2015-01-03;06:00:00;0.00;G;0;G
2015-01-03;07:00:00;0.05;G;0;G
2015-01-03;08:00:00;2.37;G;0;G
2015-01-03;09:00:00;12.94;G;0;G
2015-01-03;10:00:00;66.46;G;447;G
2015-01-03;11:00:00;97.89;G;740;G
2015-01-03;12:00:00;54.10;G;1;G
2015-01-03;13:00:00;63.89;G;955;G
2015-01-03;14:00:00;34.92;G;0;G
2015-01-03;15:00:00;7.67;G;0;G
2015-01-03;16:00:00;0.33;G;0;G
2015-01-03;17:00:00;0.00;G;0;G
2015-01-03;18:00:00;0.00;G;0;G
2015-01-03;19:00:00;0.00;G;0;G
2015-01-03;20:00:00;0.00;G;0;G
2015-01-03;21:00:00;0.00;G;0;G
2015-01-03;22:00:00;0.00;G;0;G
2015-01-03;23:00:00;0.00;G;0;G
2015-01-04;00:00:00;0.00;G;0;G
2015-01-04;01:00:00;0.00;G;0;G
2015-01-04;02:00:00;0.00;G;0;G
2015-01-04;03:00:00;0.00;G;0;G
2015-01-04;04:00:00;0.00;G;0;G
2015-01-04;05:00:00;0.00;G;0;G
2015-01-04;06:00:00;0.00;G;0;G
2015-01-04;07:00:00;0.02;G;0;G
2015-01-04;08:00:00;5.70;G;0;G
2015-01-04;09:00:00;23.05;G;133;G
2015-01-04;10:00:00;88.76;G;1267;G
2015-01-04;11:00:00;155.63;G;2380;G
2015-01-04;12:00:00;162.95;G;3093;G
2015-01-04;13:00:00;88.95;G;1892;G
2015-01-04;14:00:00;59.28;G;1946;G
2015-01-04;15:00:00;10.80;G;0;G
2015-01-04;16:00:00;0.26;G;0;G
2015-01-04;17:00:00;0.00;G;0;G
2015-01-04;18:00:00;0.00;G;0;G
2015-01-04;19:00:00;0.00;G;0;G
2015-01-04;20:00:00;0.00;G;0;G
2015-01-04;21:00:00;0.00;G;0;G
2015-01-04;22:00:00;0.00;G;0;G
2015-01-04;23:00:00;0.00;G;0;G
2015-01-05;00:00:00;0.00;G;0;G
2015-01-05;01:00:00;0.00;G;0;G
2015-01-05;02:00:00;0.00;G;0;G
2015-01-05;03:00:00;0.00;G;0;G
2015-01-05;04:00:00;0.00;G;0;G
2015-01-05;05:00:00;0.00;G;0;G
