﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Växjö Sol;64565;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Global Irradians (svenska stationer);medelvärde 1 timma, varje timme;watt per kvadratmeter
Solskenstid;summa 1 timme, 1 gång/tim;sekund
Långvågs-Irradians;medelvärde 1 timma, varje timme;watt per kvadratmeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1983-01-01 00:00:00;2025-04-02 08:20:20;182.0;56.9269;14.7305

Datum;Tid (UTC);Global Irradians (svenska stationer);Kvalitet;Solskenstid;Kvalitet;Långvågs-Irradians;Kvalitet;;Tidsutsnitt:
2015-01-01;00:00:00;0.00;G;0;G;;
2015-01-01;01:00:00;0.00;G;0;G;;
2015-01-01;02:00:00;0.00;G;0;G;;
2015-01-01;03:00:00;0.00;G;0;G;;
2015-01-01;04:00:00;0.00;G;0;G;;
2015-01-01;05:00:00;0.00;G;0;G;;
2015-01-01;06:00:00;0.00;G;0;G;;
2015-01-01;07:00:00;0.11;G;0;G;;
2015-01-01;08:00:00;2.03;G;0;G;;
2015-01-01;09:00:00;7.04;G;0;G;;
2015-01-01;10:00:00;18.76;G;0;G;;
2015-01-01;11:00:00;17.62;G;0;G;;
2015-01-01;12:00:00;10.55;G;0;G;;
2015-01-01;13:00:00;8.89;G;0;G;;
2015-01-01;14:00:00;5.38;G;0;G;;
2015-01-01;15:00:00;0.66;G;0;G;;
2015-01-01;16:00:00;0.00;G;0;G;;
2015-01-01;17:00:00;0.00;G;0;G;;
2015-01-01;18:00:00;0.00;G;0;G;;
2015-01-01;19:00:00;0.00;G;0;G;;
2015-01-01;20:00:00;0.00;G;0;G;;
2015-01-01;21:00:00;0.00;G;0;G;;
2015-01-01;22:00:00;0.00;G;0;G;;
2015-01-01;23:00:00;0.00;G;0;G;;
2015-01-02;00:00:00;0.00;G;0;G;;
2015-01-02;01:00:00;0.00;G;0;G;;
2015-01-02;02:00:00;0.00;G;0;G;;
2015-01-02;03:00:00;0.00;G;0;G;;
2015-01-02;04:00:00;0.00;G;0;G;;
2015-01-02;05:00:00;0.00;G;0;G;;
2015-01-02;06:00:00;0.00;G;0;G;;
2015-01-02;07:00:00;0.00;G;0;G;;
2015-01-02;08:00:00;0.51;G;0;G;;
2015-01-02;09:00:00;3.16;G;0;G;;
2015-01-02;10:00:00;24.11;G;0;G;;
2015-01-02;11:00:00;23.64;G;0;G;;
2015-01-02;12:00:00;45.52;G;0;G;;
2015-01-02;13:00:00;35.75;G;0;G;;
2015-01-02;14:00:00;19.98;G;0;G;;
2015-01-02;15:00:00;4.78;G;0;G;;
2015-01-02;16:00:00;0.15;G;0;G;;
2015-01-02;17:00:00;0.00;G;0;G;;
2015-01-02;18:00:00;0.00;G;0;G;;
2015-01-02;19:00:00;0.00;G;0;G;;
2015-01-02;20:00:00;0.00;G;0;G;;
2015-01-02;21:00:00;0.00;G;0;G;;
2015-01-02;22:00:00;0.00;G;0;G;;
2015-01-02;23:00:00;0.00;G;0;G;;
2015-01-03;00:00:00;0.00;G;0;G;;
2015-01-03;01:00:00;0.00;G;0;G;;
2015-01-03;02:00:00;0.00;G;0;G;;
2015-01-03;03:00:00;0.00;G;0;G;;
2015-01-03;04:00:00;0.00;G;0;G;;
2015-01-03;05:00:00;0.00;G;0;G;;
2015-01-03;06:00:00;0.00;G;0;G;;
2015-01-03;07:00:00;0.11;G;0;G;;
2015-01-03;08:00:00;3.72;G;0;G;;
2015-01-03;09:00:00;19.99;G;0;G;;
2015-01-03;10:00:00;31.17;G;0;G;;
2015-01-03;11:00:00;32.85;G;0;G;;
2015-01-03;12:00:00;30.46;G;0;G;;
2015-01-03;13:00:00;33.09;G;0;G;;
2015-01-03;14:00:00;19.62;G;0;G;;
2015-01-03;15:00:00;2.62;G;0;G;;
2015-01-03;16:00:00;0.32;G;0;G;;
2015-01-03;17:00:00;0.00;G;0;G;;
2015-01-03;18:00:00;0.00;G;0;G;;
2015-01-03;19:00:00;0.00;G;0;G;;
2015-01-03;20:00:00;0.00;G;0;G;;
2015-01-03;21:00:00;0.00;G;0;G;;
2015-01-03;22:00:00;0.00;G;0;G;;
2015-01-03;23:00:00;0.00;G;0;G;;
2015-01-04;00:00:00;0.00;G;0;G;;
2015-01-04;01:00:00;0.00;G;0;G;;
2015-01-04;02:00:00;0.00;G;0;G;;
2015-01-04;03:00:00;0.00;G;0;G;;
2015-01-04;04:00:00;0.00;G;0;G;;
2015-01-04;05:00:00;0.00;G;0;G;;
2015-01-04;06:00:00;0.00;G;0;G;;
2015-01-04;07:00:00;0.00;G;0;G;;
2015-01-04;08:00:00;4.17;G;0;G;;
2015-01-04;09:00:00;49.89;G;3330;G;;
2015-01-04;10:00:00;110.28;G;3600;G;;
2015-01-04;11:00:00;151.04;G;3600;G;;
2015-01-04;12:00:00;155.94;G;3600;G;;
2015-01-04;13:00:00;122.31;G;3600;G;;
2015-01-04;14:00:00;63.37;G;3600;G;;
2015-01-04;15:00:00;9.34;G;925;G;;
2015-01-04;16:00:00;0.14;G;0;G;;
2015-01-04;17:00:00;0.00;G;0;G;;
2015-01-04;18:00:00;0.00;G;0;G;;
